Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Packaging,Quantity,Description,Distributor,Link
OKL-T/1-W12N-C,Murata Power Solutions Inc.,811-2260-1-ND,U1,Cut Tape (CT),1,DC DC CONVERTER 0.9-5V 5W,DigiKey,
5031821852,"Molex, LLC",WM12834CT-ND,J2,Cut Tape (CT),1,MICRO SD NORMAL ULTRALOWPRO8CKTE,DigiKey,
SD0805S020S1R0,AVX Corporation,478-7800-1-ND,D1,Cut Tape (CT),1,DIODE SCHOTTKY 20V 1A 0805,DigiKey,
STA333ML13TR,STMicroelectronics,497-8877-1-ND,U3,Cut Tape (CT),1,IC DAS 2CH MICROLESS POWERSSO36,DigiKey,
GCM188R71H472KA37D,Murata Electronics North America,490-4932-1-ND,C6,Cut Tape (CT),1,CAP CER 4700PF 50V X7R 0603,DigiKey,
C0603C104K5RACTU,KEMET,399-5089-1-ND,"C2,C3,C4,C5,C8,C9,C10,C11,C13,C15,C17,C18",Cut Tape (CT),12,CAP CER 0.1UF 50V X7R 0603,DigiKey,
MPZ2012S221AT000,TDK Corporation,445-1568-1-ND,"L1,L2,L3,L4",Cut Tape (CT),4,FERRITE BEAD 220 OHM 0805 1LN,DigiKey,
RC0603JR-072K2P,Yageo,YAG1313CT-ND,"R2,R4,R5,R8,R9,R10",Cut Tape (CT),6,RES SMD 2.2K OHM 5% 1/10W 0603,DigiKey,
RC0603JR-070RL,Yageo,311-0.0GRCT-ND,"R1,R6,R7",Cut Tape (CT),3,RES SMD 0 OHM JUMPER 1/10W 0603,DigiKey,
RC0603JR-0710KL,Yageo,311-10KGRCT-ND,R3,Cut Tape (CT),1,RES SMD 10K OHM 5% 1/10W 0603,DigiKey,
SM04B-SRSS-TB(LF)(SN),JST Sales America Inc.,455-1804-1-ND,J3,Cut Tape (CT),1,CONN HEADER SH 4POS SIDE 1MM TIN,DigiKey,
UWT1E470MCL6GS,Nichicon,493-9881-1-ND,C12,Cut Tape (CT),1,CAP ALUM 47UF 20% 25V SMD,DigiKey,
GRM188R71H681KA01D,Murata Electronics North America,490-1491-1-ND,C7,Cut Tape (CT),1,CAP CER 680PF 50V X7R 0603,DigiKey,
CL21B105KBFNFNE,Samsung Electro-Mechanics,1276-2928-1-ND,"C1,C14,C16",Cut Tape (CT),3,CAP CER 1UF 50V X7R 0805,DigiKey,
DEV-13736,SparkFun Electronics,1568-1231-ND,U2,Bulk,1,DEV TEENSY 3.2 13736,DigiKey,
,,,,,,,,
PCB,OSHPark,,PCB,,1,PurrEngine PCB V2,OSHPark,https://oshpark.com/shared_projects/ChKLxnOV
